Symbol,Name,Price,Change,market cap,PE_ratio
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.02,78.034B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.66,+0.20,73.315B,0.40
PYPL,"PayPal Holdings, Inc.",62.11,-2.07,72.417B,35.27
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.26,+0.04,68.476B,26.74
CME,CME Group Inc.,184.61,+1.13,67.052B,23.66
ICE,"Intercontinental Exchange, Inc.",108.36,+0.15,60.659B,41.83
BNS,The Bank of Nova Scotia,49.02,-0.32,58.486B,9.08
UBS,UBS Group AG,19.15,-0.04,59.524B,9.87
MCO,Moody's Corporation,309.04,+0.09,56.99B,41.47
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.608B,9.12
BMO,Bank of Montreal,87.43,-0.08,61.785B,5.86
KKR,KKR & Co. Inc.,48.37,-0.24,54.709B,N/A
ITUB,Ita Unibanco Holding S.A.,5.41,-0.04,53.016B,9.02
MS-PI,Morgan Stanley,24.86,-0.02,66.298B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.43,+0.04,63.197B,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.08,+0.00,64.869B,3.19
PGR,The Progressive Corporation,134.09,+0.15,79.233B,95.06
MS-PK,Morgan Stanley,23.24,-0.04,63.166B,2.96
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.66,+0.20,73.315B,0.40
PYPL,"PayPal Holdings, Inc.",62.12,-2.06,72.499B,35.31
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.26,+0.04,68.476B,26.74
CME,CME Group Inc.,184.57,+1.10,67.073B,23.67
ICE,"Intercontinental Exchange, Inc.",108.36,+0.15,60.667B,41.84
BNS,The Bank of Nova Scotia,49.02,-0.32,58.486B,9.08
UBS,UBS Group AG,19.15,-0.04,59.524B,9.87
MCO,Moody's Corporation,309.04,+0.09,57.008B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.642B,9.13
BMO,Bank of Montreal,87.43,-0.08,61.785B,5.86
KKR,KKR & Co. Inc.,48.37,-0.24,54.732B,N/A
ITUB,Ita Unibanco Holding S.A.,5.41,-0.04,53.016B,9.02
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
GS-PK,"The Goldman Sachs Group, Inc.",24.43,+0.04,63.197B,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.08,+0.00,64.869B,3.19
PGR,The Progressive Corporation,134.07,+0.13,79.251B,95.09
MS-PK,Morgan Stanley,23.24,-0.04,63.166B,2.96
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.66,+0.20,73.315B,0.40
PYPL,"PayPal Holdings, Inc.",62.12,-2.06,72.464B,35.29
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.26,+0.04,68.476B,26.74
CME,CME Group Inc.,184.57,+1.10,67.057B,23.66
ICE,"Intercontinental Exchange, Inc.",108.36,+0.15,60.667B,41.84
BNS,The Bank of Nova Scotia,49.02,-0.32,58.486B,9.08
UBS,UBS Group AG,19.15,-0.04,59.524B,9.87
MCO,Moody's Corporation,309.04,+0.09,57.008B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.642B,9.13
BMO,Bank of Montreal,87.43,-0.08,61.785B,5.86
KKR,KKR & Co. Inc.,48.35,-0.26,54.732B,N/A
ITUB,Ita Unibanco Holding S.A.,5.41,-0.04,53.016B,9.02
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.33,-0.87,49.597B,25.49
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.08,+0.00,64.869B,3.19
PGR,The Progressive Corporation,134.07,+0.13,79.251B,95.09
MS-PK,Morgan Stanley,23.24,-0.04,63.166B,2.96
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.60,+0.14,73.102B,0.40
PYPL,"PayPal Holdings, Inc.",62.12,-2.06,72.47B,35.29
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.37,+0.15,68.476B,26.74
CME,CME Group Inc.,184.57,+1.10,67.057B,23.66
ICE,"Intercontinental Exchange, Inc.",108.36,+0.15,60.667B,41.84
BNS,The Bank of Nova Scotia,49.02,-0.32,58.486B,9.08
UBS,UBS Group AG,19.15,-0.04,59.524B,9.87
MCO,Moody's Corporation,309.00,+0.05,57.008B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.642B,9.13
BMO,Bank of Montreal,87.43,-0.08,61.785B,5.86
KKR,KKR & Co. Inc.,48.38,-0.24,54.709B,N/A
ITUB,Ita Unibanco Holding S.A.,5.41,-0.04,53.016B,9.02
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.32,-0.88,49.581B,25.48
ING,ING Groep N.V.,12.67,+0.01,45.797B,11.01
MS-PF,Morgan Stanley,25.08,+0.00,64.869B,3.19
PGR,The Progressive Corporation,134.04,+0.10,79.233B,95.06
MS-PK,Morgan Stanley,23.24,-0.04,63.166B,2.96
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.42,-0.01,78.103B,26.75
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.61,+0.15,73.137B,0.40
PYPL,"PayPal Holdings, Inc.",62.10,-2.08,72.452B,35.28
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.37,+0.15,68.498B,26.74
CME,CME Group Inc.,184.57,+1.10,67.057B,23.66
ICE,"Intercontinental Exchange, Inc.",108.36,+0.15,60.667B,41.84
BNS,The Bank of Nova Scotia,49.02,-0.32,58.486B,9.08
UBS,UBS Group AG,19.15,-0.04,59.524B,9.87
MCO,Moody's Corporation,309.00,+0.05,57.001B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.642B,9.13
BMO,Bank of Montreal,87.43,-0.08,61.785B,5.86
KKR,KKR & Co. Inc.,48.37,-0.24,54.738B,N/A
ITUB,Ita Unibanco Holding S.A.,5.42,-0.03,53.016B,9.02
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.32,-0.89,49.573B,25.48
ING,ING Groep N.V.,12.67,+0.01,45.815B,11.02
AJG,Arthur J. Gallagher & Co.,217.17,+0.36,46.528B,40.14
PGR,The Progressive Corporation,134.04,+0.10,79.233B,95.06
MS-PK,Morgan Stanley,23.24,-0.04,63.166B,2.96
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.02,77.987B,26.71
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.61,+0.15,73.137B,0.40
PYPL,"PayPal Holdings, Inc.",62.08,-2.10,72.44B,35.28
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.36,+0.14,68.498B,26.74
CME,CME Group Inc.,184.52,+1.04,67.037B,23.66
ICE,"Intercontinental Exchange, Inc.",108.30,+0.09,60.634B,41.81
BNS,The Bank of Nova Scotia,48.99,-0.35,58.486B,9.08
UBS,UBS Group AG,19.16,-0.03,59.524B,9.87
MCO,Moody's Corporation,309.00,+0.05,57.001B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.617B,9.13
BMO,Bank of Montreal,87.41,-0.10,61.785B,5.86
KKR,KKR & Co. Inc.,48.32,-0.29,54.709B,N/A
ITUB,Ita Unibanco Holding S.A.,5.42,-0.03,53.106B,9.03
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.30,-0.90,49.565B,25.47
ING,ING Groep N.V.,12.66,+0.01,45.815B,11.02
AJG,Arthur J. Gallagher & Co.,217.17,+0.36,46.528B,40.14
BSBR,Banco Santander (Brasil) S.A.,6.10,+0.08,45.383B,16.47
MS-PK,Morgan Stanley,23.24,-0.04,63.166B,2.96
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.42,-0.01,78.103B,26.75
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.61,+0.15,73.137B,0.40
PYPL,"PayPal Holdings, Inc.",62.02,-2.16,72.4B,35.26
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.36,+0.14,68.496B,26.74
CME,CME Group Inc.,184.46,+0.98,67.015B,23.65
ICE,"Intercontinental Exchange, Inc.",108.25,+0.04,60.628B,41.81
BNS,The Bank of Nova Scotia,48.98,-0.36,58.438B,9.07
UBS,UBS Group AG,19.16,-0.03,59.529B,9.87
MCO,Moody's Corporation,309.00,+0.05,57.001B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.617B,9.13
BMO,Bank of Montreal,87.41,-0.10,61.771B,5.86
KKR,KKR & Co. Inc.,48.32,-0.29,54.676B,N/A
ITUB,Ita Unibanco Holding S.A.,5.42,-0.03,53.106B,9.03
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.30,-0.90,49.54B,25.46
ING,ING Groep N.V.,12.66,+0.01,45.797B,11.01
AJG,Arthur J. Gallagher & Co.,217.17,+0.36,46.528B,40.14
BSBR,Banco Santander (Brasil) S.A.,6.10,+0.08,45.42B,16.49
USB,U.S. Bancorp,29.08,+0.16,45.41B,7.93
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.61,+0.15,73.137B,0.40
PYPL,"PayPal Holdings, Inc.",61.97,-2.21,72.3B,35.21
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.36,+0.14,68.496B,26.74
CME,CME Group Inc.,184.46,+0.98,67.015B,23.65
ICE,"Intercontinental Exchange, Inc.",108.25,+0.04,60.606B,41.80
BNS,The Bank of Nova Scotia,48.98,-0.36,58.438B,9.07
UBS,UBS Group AG,19.16,-0.03,59.529B,9.87
MCO,Moody's Corporation,309.00,+0.05,57.001B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.617B,9.13
BMO,Bank of Montreal,87.41,-0.10,61.771B,5.86
KKR,KKR & Co. Inc.,48.32,-0.29,54.676B,N/A
ITUB,Ita Unibanco Holding S.A.,5.42,-0.03,53.106B,9.03
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.30,-0.90,49.54B,25.46
ING,ING Groep N.V.,12.66,+0.01,45.797B,11.01
AJG,Arthur J. Gallagher & Co.,217.05,+0.24,46.528B,40.14
BSBR,Banco Santander (Brasil) S.A.,6.10,+0.08,45.42B,16.49
USB,U.S. Bancorp,29.11,+0.19,45.394B,7.92
PNC,"The PNC Financial Services Group, Inc.",111.09,-1.61,45.509B,7.69
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.61,+0.15,73.137B,0.40
PYPL,"PayPal Holdings, Inc.",61.97,-2.22,72.295B,35.21
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.36,+0.14,68.496B,26.74
CME,CME Group Inc.,184.44,+0.96,67.008B,23.65
ICE,"Intercontinental Exchange, Inc.",108.25,+0.04,60.606B,41.80
BNS,The Bank of Nova Scotia,48.98,-0.36,58.438B,9.07
UBS,UBS Group AG,19.16,-0.03,59.529B,9.87
MCO,Moody's Corporation,309.00,+0.05,57.001B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.617B,9.13
BMO,Bank of Montreal,87.41,-0.10,61.771B,5.86
KKR,KKR & Co. Inc.,48.33,-0.28,54.676B,N/A
ITUB,Ita Unibanco Holding S.A.,5.42,-0.03,53.106B,9.03
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.30,-0.91,49.532B,25.46
ING,ING Groep N.V.,12.66,+0.01,45.797B,11.01
AJG,Arthur J. Gallagher & Co.,217.05,+0.24,46.502B,40.12
BSBR,Banco Santander (Brasil) S.A.,6.10,+0.08,45.42B,16.49
USB,U.S. Bancorp,29.12,+0.20,45.449B,7.93
PNC,"The PNC Financial Services Group, Inc.",111.09,-1.61,45.517B,7.69
AIG-PA,"American International Group, Inc.",24.59,+0.02,44.115B,2.15
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.61,+0.15,73.137B,0.40
PYPL,"PayPal Holdings, Inc.",61.97,-2.21,72.3B,35.21
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.36,+0.14,68.496B,26.74
CME,CME Group Inc.,184.41,+0.93,66.999B,23.64
ICE,"Intercontinental Exchange, Inc.",108.32,+0.11,60.645B,41.82
BNS,The Bank of Nova Scotia,48.98,-0.36,58.438B,9.07
UBS,UBS Group AG,19.16,-0.03,59.529B,9.87
MCO,Moody's Corporation,308.97,+0.02,57.001B,41.48
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.617B,9.13
BMO,Bank of Montreal,87.41,-0.10,61.771B,5.86
KKR,KKR & Co. Inc.,48.33,-0.28,54.692B,N/A
ITUB,Ita Unibanco Holding S.A.,5.42,-0.03,53.106B,9.03
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.27,-0.93,49.524B,25.45
ING,ING Groep N.V.,12.67,+0.01,45.797B,11.01
AJG,Arthur J. Gallagher & Co.,216.99,+0.18,46.502B,40.12
BSBR,Banco Santander (Brasil) S.A.,6.10,+0.08,45.42B,16.49
USB,U.S. Bancorp,29.13,+0.21,45.472B,7.94
PNC,"The PNC Financial Services Group, Inc.",111.10,-1.60,45.517B,7.69
AIG-PA,"American International Group, Inc.",24.59,+0.02,44.115B,2.15
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,+0.05,43.009B,5.97
GS-PD,"The Goldman Sachs Group, Inc.",20.61,+0.15,73.137B,0.40
PYPL,"PayPal Holdings, Inc.",61.96,-2.22,72.289B,35.20
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.36,+0.14,68.496B,26.74
CME,CME Group Inc.,184.43,+0.96,67.006B,23.65
ICE,"Intercontinental Exchange, Inc.",108.30,+0.09,60.634B,41.81
BNS,The Bank of Nova Scotia,48.98,-0.36,58.438B,9.07
UBS,UBS Group AG,19.16,-0.03,59.529B,9.87
MCO,Moody's Corporation,308.97,+0.02,56.995B,41.47
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.39,-0.02,56.617B,9.13
BMO,Bank of Montreal,87.41,-0.10,61.771B,5.86
KKR,KKR & Co. Inc.,48.36,-0.25,54.721B,N/A
ITUB,Ita Unibanco Holding S.A.,5.41,-0.03,53.065B,9.02
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.27,-0.93,49.499B,25.44
ING,ING Groep N.V.,12.67,+0.01,45.797B,11.01
AJG,Arthur J. Gallagher & Co.,216.99,+0.18,46.489B,40.11
BSBR,Banco Santander (Brasil) S.A.,6.10,+0.08,45.42B,16.49
USB,U.S. Bancorp,29.13,+0.21,45.48B,7.94
PNC,"The PNC Financial Services Group, Inc.",111.14,-1.56,45.542B,7.70
AIG-PA,"American International Group, Inc.",24.59,+0.02,44.115B,2.15
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,+0.04,43.009B,5.97
MET-PA,"MetLife, Inc.",21.98,+0.22,42.691B,2.82
PYPL,"PayPal Holdings, Inc.",61.96,-2.22,72.283B,35.20
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.36,+0.14,68.496B,26.74
CME,CME Group Inc.,184.38,+0.90,66.986B,23.64
ICE,"Intercontinental Exchange, Inc.",108.28,+0.07,60.622B,41.81
BNS,The Bank of Nova Scotia,48.98,-0.36,58.438B,9.07
UBS,UBS Group AG,19.15,-0.04,59.515B,9.87
MCO,Moody's Corporation,309.11,+0.16,56.995B,41.47
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.39,-0.02,56.59B,9.12
BMO,Bank of Montreal,87.41,-0.10,61.771B,5.86
KKR,KKR & Co. Inc.,48.36,-0.25,54.721B,N/A
ITUB,Ita Unibanco Holding S.A.,5.41,-0.03,53.065B,9.02
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.27,-0.93,49.491B,25.44
ING,ING Groep N.V.,12.67,+0.01,45.797B,11.01
AJG,Arthur J. Gallagher & Co.,216.99,+0.18,46.489B,40.11
BSBR,Banco Santander (Brasil) S.A.,6.10,+0.08,45.42B,16.49
USB,U.S. Bancorp,29.13,+0.21,45.472B,7.94
PNC,"The PNC Financial Services Group, Inc.",111.14,-1.56,45.538B,7.70
AIG-PA,"American International Group, Inc.",24.59,+0.02,44.115B,2.15
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,+0.04,42.98B,5.97
MET-PA,"MetLife, Inc.",21.98,+0.22,42.691B,2.82
MET-PE,"MetLife, Inc.",23.79,+0.04,42.184B,3.05
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.43,+0.21,71.94B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.36,+0.14,68.496B,26.74
CME,CME Group Inc.,184.38,+0.90,66.986B,23.64
ICE,"Intercontinental Exchange, Inc.",108.31,+0.10,60.622B,41.81
BNS,The Bank of Nova Scotia,48.98,-0.36,58.438B,9.07
UBS,UBS Group AG,19.15,-0.04,59.515B,9.87
MCO,Moody's Corporation,309.11,+0.16,57.021B,41.49
SMFG,"Sumitomo Mitsui Financial Group, Inc.",8.40,-0.01,56.59B,9.12
BMO,Bank of Montreal,87.42,-0.09,61.771B,5.86
KKR,KKR & Co. Inc.,48.37,-0.24,54.721B,N/A
ITUB,Ita Unibanco Holding S.A.,5.41,-0.03,53.065B,9.02
SCHW-PD,The Charles Schwab Corporation,24.93,+0.17,50.392B,9.00
BN,Brookfield Corporation,30.25,-0.95,49.475B,25.43
ING,ING Groep N.V.,12.67,+0.01,45.797B,11.01
AJG,Arthur J. Gallagher & Co.,216.99,+0.18,46.489B,40.11
BSBR,Banco Santander (Brasil) S.A.,6.10,+0.08,45.42B,16.49
USB,U.S. Bancorp,29.16,+0.24,45.496B,7.94
PNC,"The PNC Financial Services Group, Inc.",111.18,-1.52,45.538B,7.70
AIG-PA,"American International Group, Inc.",24.59,+0.02,44.115B,2.15
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",7.16,+0.04,42.985B,5.97
MET-PA,"MetLife, Inc.",21.98,+0.22,42.691B,2.82
MET-PE,"MetLife, Inc.",23.79,+0.04,42.184B,3.05
TRV,"The Travelers Companies, Inc.",181.84,-0.97,42.24B,15.50
