id,orders
Prague_1_2024-03-16,5000
Prague_1_2024-03-17,5000
Prague_1_2024-03-18,5000
Prague_1_2024-03-19,5000
Prague_1_2024-03-20,5000
Prague_1_2024-03-21,5000
Prague_1_2024-03-22,5000
Prague_1_2024-03-23,5000
Prague_1_2024-03-24,5000
Prague_1_2024-03-25,5000
Prague_1_2024-03-26,5000
Prague_1_2024-03-27,5000
Prague_1_2024-03-28,5000
Prague_1_2024-03-29,5000
Prague_1_2024-03-30,5000
Prague_1_2024-03-31,5000
Prague_1_2024-04-01,5000
Prague_1_2024-04-02,5000
Prague_1_2024-04-03,5000
Prague_1_2024-04-04,5000
Prague_1_2024-04-05,5000
Prague_1_2024-04-06,5000
Prague_1_2024-04-07,5000
Prague_1_2024-04-08,5000
Prague_1_2024-04-09,5000
Prague_1_2024-04-10,5000
Prague_1_2024-04-11,5000
Prague_1_2024-04-12,5000
Prague_1_2024-04-13,5000
Prague_1_2024-04-14,5000
Prague_1_2024-04-15,5000
Prague_1_2024-04-16,5000
Prague_1_2024-04-17,5000
Prague_1_2024-04-18,5000
Prague_1_2024-04-19,5000
Prague_1_2024-04-20,5000
Prague_1_2024-04-21,5000
Prague_1_2024-04-22,5000
Prague_1_2024-04-23,5000
Prague_1_2024-04-24,5000
Prague_1_2024-04-25,5000
Prague_1_2024-04-26,5000
Prague_1_2024-04-27,5000
Prague_1_2024-04-28,5000
Prague_1_2024-04-29,5000
Prague_1_2024-04-30,5000
Prague_1_2024-05-01,5000
Prague_1_2024-05-02,5000
Prague_1_2024-05-03,5000
Prague_1_2024-05-04,5000
Prague_1_2024-05-05,5000
Prague_1_2024-05-06,5000
Prague_1_2024-05-07,5000
Prague_1_2024-05-08,5000
Prague_1_2024-05-09,5000
Prague_1_2024-05-10,5000
Prague_1_2024-05-11,5000
Prague_1_2024-05-12,5000
Prague_1_2024-05-13,5000
Prague_1_2024-05-14,5000
Prague_1_2024-05-15,5000
Brno_1_2024-03-16,5000
Brno_1_2024-03-17,5000
Brno_1_2024-03-18,5000
Brno_1_2024-03-19,5000
Brno_1_2024-03-20,5000
Brno_1_2024-03-21,5000
Brno_1_2024-03-22,5000
Brno_1_2024-03-23,5000
Brno_1_2024-03-24,5000
Brno_1_2024-03-25,5000
Brno_1_2024-03-26,5000
Brno_1_2024-03-27,5000
Brno_1_2024-03-28,5000
Brno_1_2024-03-29,5000
Brno_1_2024-03-30,5000
Brno_1_2024-03-31,5000
Brno_1_2024-04-01,5000
Brno_1_2024-04-02,5000
Brno_1_2024-04-03,5000
Brno_1_2024-04-04,5000
Brno_1_2024-04-05,5000
Brno_1_2024-04-06,5000
Brno_1_2024-04-07,5000
Brno_1_2024-04-08,5000
Brno_1_2024-04-09,5000
Brno_1_2024-04-10,5000
Brno_1_2024-04-11,5000
Brno_1_2024-04-12,5000
Brno_1_2024-04-13,5000
Brno_1_2024-04-14,5000
Brno_1_2024-04-15,5000
Brno_1_2024-04-16,5000
Brno_1_2024-04-17,5000
Brno_1_2024-04-18,5000
Brno_1_2024-04-19,5000
Brno_1_2024-04-20,5000
Brno_1_2024-04-21,5000
Brno_1_2024-04-22,5000
Brno_1_2024-04-23,5000
Brno_1_2024-04-24,5000
Brno_1_2024-04-25,5000
Brno_1_2024-04-26,5000
Brno_1_2024-04-27,5000
Brno_1_2024-04-28,5000
Brno_1_2024-04-29,5000
Brno_1_2024-04-30,5000
Brno_1_2024-05-01,5000
Brno_1_2024-05-02,5000
Brno_1_2024-05-03,5000
Brno_1_2024-05-04,5000
Brno_1_2024-05-05,5000
Brno_1_2024-05-06,5000
Brno_1_2024-05-07,5000
Brno_1_2024-05-08,5000
Brno_1_2024-05-09,5000
Brno_1_2024-05-10,5000
Brno_1_2024-05-11,5000
Brno_1_2024-05-12,5000
Brno_1_2024-05-13,5000
Brno_1_2024-05-14,5000
Brno_1_2024-05-15,5000
Prague_2_2024-03-16,5000
Prague_2_2024-03-17,5000
Prague_2_2024-03-18,5000
Prague_2_2024-03-19,5000
Prague_2_2024-03-20,5000
Prague_2_2024-03-21,5000
Prague_2_2024-03-22,5000
Prague_2_2024-03-23,5000
Prague_2_2024-03-24,5000
Prague_2_2024-03-25,5000
Prague_2_2024-03-26,5000
Prague_2_2024-03-27,5000
Prague_2_2024-03-28,5000
Prague_2_2024-03-29,5000
Prague_2_2024-03-30,5000
Prague_2_2024-03-31,5000
Prague_2_2024-04-01,5000
Prague_2_2024-04-02,5000
Prague_2_2024-04-03,5000
Prague_2_2024-04-04,5000
Prague_2_2024-04-05,5000
Prague_2_2024-04-06,5000
Prague_2_2024-04-07,5000
Prague_2_2024-04-08,5000
Prague_2_2024-04-09,5000
Prague_2_2024-04-10,5000
Prague_2_2024-04-11,5000
Prague_2_2024-04-12,5000
Prague_2_2024-04-13,5000
Prague_2_2024-04-14,5000
Prague_2_2024-04-15,5000
Prague_2_2024-04-16,5000
Prague_2_2024-04-17,5000
Prague_2_2024-04-18,5000
Prague_2_2024-04-19,5000
Prague_2_2024-04-20,5000
Prague_2_2024-04-21,5000
Prague_2_2024-04-22,5000
Prague_2_2024-04-23,5000
Prague_2_2024-04-24,5000
Prague_2_2024-04-25,5000
Prague_2_2024-04-26,5000
Prague_2_2024-04-27,5000
Prague_2_2024-04-28,5000
Prague_2_2024-04-29,5000
Prague_2_2024-04-30,5000
Prague_2_2024-05-01,5000
Prague_2_2024-05-02,5000
Prague_2_2024-05-03,5000
Prague_2_2024-05-04,5000
Prague_2_2024-05-05,5000
Prague_2_2024-05-06,5000
Prague_2_2024-05-07,5000
Prague_2_2024-05-08,5000
Prague_2_2024-05-09,5000
Prague_2_2024-05-10,5000
Prague_2_2024-05-11,5000
Prague_2_2024-05-12,5000
Prague_2_2024-05-13,5000
Prague_2_2024-05-14,5000
Prague_2_2024-05-15,5000
Prague_3_2024-03-16,5000
Prague_3_2024-03-17,5000
Prague_3_2024-03-18,5000
Prague_3_2024-03-19,5000
Prague_3_2024-03-20,5000
Prague_3_2024-03-21,5000
Prague_3_2024-03-22,5000
Prague_3_2024-03-23,5000
Prague_3_2024-03-24,5000
Prague_3_2024-03-25,5000
Prague_3_2024-03-26,5000
Prague_3_2024-03-27,5000
Prague_3_2024-03-28,5000
Prague_3_2024-03-29,5000
Prague_3_2024-03-30,5000
Prague_3_2024-03-31,5000
Prague_3_2024-04-01,5000
Prague_3_2024-04-02,5000
Prague_3_2024-04-03,5000
Prague_3_2024-04-04,5000
Prague_3_2024-04-05,5000
Prague_3_2024-04-06,5000
Prague_3_2024-04-07,5000
Prague_3_2024-04-08,5000
Prague_3_2024-04-09,5000
Prague_3_2024-04-10,5000
Prague_3_2024-04-11,5000
Prague_3_2024-04-12,5000
Prague_3_2024-04-13,5000
Prague_3_2024-04-14,5000
Prague_3_2024-04-15,5000
Prague_3_2024-04-16,5000
Prague_3_2024-04-17,5000
Prague_3_2024-04-18,5000
Prague_3_2024-04-19,5000
Prague_3_2024-04-20,5000
Prague_3_2024-04-21,5000
Prague_3_2024-04-22,5000
Prague_3_2024-04-23,5000
Prague_3_2024-04-24,5000
Prague_3_2024-04-25,5000
Prague_3_2024-04-26,5000
Prague_3_2024-04-27,5000
Prague_3_2024-04-28,5000
Prague_3_2024-04-29,5000
Prague_3_2024-04-30,5000
Prague_3_2024-05-01,5000
Prague_3_2024-05-02,5000
Prague_3_2024-05-03,5000
Prague_3_2024-05-04,5000
Prague_3_2024-05-05,5000
Prague_3_2024-05-06,5000
Prague_3_2024-05-07,5000
Prague_3_2024-05-08,5000
Prague_3_2024-05-09,5000
Prague_3_2024-05-10,5000
Prague_3_2024-05-11,5000
Prague_3_2024-05-12,5000
Prague_3_2024-05-13,5000
Prague_3_2024-05-14,5000
Prague_3_2024-05-15,5000
Munich_1_2024-03-16,5000
Munich_1_2024-03-18,5000
Munich_1_2024-03-19,5000
Munich_1_2024-03-20,5000
Munich_1_2024-03-21,5000
Munich_1_2024-03-22,5000
Munich_1_2024-03-23,5000
Munich_1_2024-03-25,5000
Munich_1_2024-03-26,5000
Munich_1_2024-03-27,5000
Munich_1_2024-03-28,5000
Munich_1_2024-03-30,5000
Munich_1_2024-04-02,5000
Munich_1_2024-04-03,5000
Munich_1_2024-04-04,5000
Munich_1_2024-04-05,5000
Munich_1_2024-04-06,5000
Munich_1_2024-04-08,5000
Munich_1_2024-04-09,5000
Munich_1_2024-04-10,5000
Munich_1_2024-04-11,5000
Munich_1_2024-04-12,5000
Munich_1_2024-04-13,5000
Munich_1_2024-04-15,5000
Munich_1_2024-04-16,5000
Munich_1_2024-04-17,5000
Munich_1_2024-04-18,5000
Munich_1_2024-04-19,5000
Munich_1_2024-04-20,5000
Munich_1_2024-04-22,5000
Munich_1_2024-04-23,5000
Munich_1_2024-04-24,5000
Munich_1_2024-04-25,5000
Munich_1_2024-04-26,5000
Munich_1_2024-04-27,5000
Munich_1_2024-04-29,5000
Munich_1_2024-04-30,5000
Munich_1_2024-05-02,5000
Munich_1_2024-05-03,5000
Munich_1_2024-05-04,5000
Munich_1_2024-05-06,5000
Munich_1_2024-05-07,5000
Munich_1_2024-05-08,5000
Munich_1_2024-05-10,5000
Munich_1_2024-05-11,5000
Munich_1_2024-05-13,5000
Munich_1_2024-05-14,5000
Munich_1_2024-05-15,5000
Frankfurt_1_2024-03-16,5000
Frankfurt_1_2024-03-18,5000
Frankfurt_1_2024-03-19,5000
Frankfurt_1_2024-03-20,5000
Frankfurt_1_2024-03-21,5000
Frankfurt_1_2024-03-22,5000
Frankfurt_1_2024-03-23,5000
Frankfurt_1_2024-03-25,5000
Frankfurt_1_2024-03-26,5000
Frankfurt_1_2024-03-27,5000
Frankfurt_1_2024-03-28,5000
Frankfurt_1_2024-03-30,5000
Frankfurt_1_2024-04-02,5000
Frankfurt_1_2024-04-03,5000
Frankfurt_1_2024-04-04,5000
Frankfurt_1_2024-04-05,5000
Frankfurt_1_2024-04-06,5000
Frankfurt_1_2024-04-08,5000
Frankfurt_1_2024-04-09,5000
Frankfurt_1_2024-04-10,5000
Frankfurt_1_2024-04-11,5000
Frankfurt_1_2024-04-12,5000
Frankfurt_1_2024-04-13,5000
Frankfurt_1_2024-04-15,5000
Frankfurt_1_2024-04-16,5000
Frankfurt_1_2024-04-17,5000
Frankfurt_1_2024-04-18,5000
Frankfurt_1_2024-04-19,5000
Frankfurt_1_2024-04-20,5000
Frankfurt_1_2024-04-22,5000
Frankfurt_1_2024-04-23,5000
Frankfurt_1_2024-04-24,5000
Frankfurt_1_2024-04-25,5000
Frankfurt_1_2024-04-26,5000
Frankfurt_1_2024-04-27,5000
Frankfurt_1_2024-04-29,5000
Frankfurt_1_2024-04-30,5000
Frankfurt_1_2024-05-02,5000
Frankfurt_1_2024-05-03,5000
Frankfurt_1_2024-05-04,5000
Frankfurt_1_2024-05-06,5000
Frankfurt_1_2024-05-07,5000
Frankfurt_1_2024-05-08,5000
Frankfurt_1_2024-05-10,5000
Frankfurt_1_2024-05-11,5000
Frankfurt_1_2024-05-13,5000
Frankfurt_1_2024-05-14,5000
Frankfurt_1_2024-05-15,5000
Budapest_1_2024-03-16,5000
Budapest_1_2024-03-17,5000
Budapest_1_2024-03-18,5000
Budapest_1_2024-03-19,5000
Budapest_1_2024-03-20,5000
Budapest_1_2024-03-21,5000
Budapest_1_2024-03-22,5000
Budapest_1_2024-03-23,5000
Budapest_1_2024-03-24,5000
Budapest_1_2024-03-25,5000
Budapest_1_2024-03-26,5000
Budapest_1_2024-03-27,5000
Budapest_1_2024-03-28,5000
Budapest_1_2024-03-30,5000
Budapest_1_2024-04-02,5000
Budapest_1_2024-04-03,5000
Budapest_1_2024-04-04,5000
Budapest_1_2024-04-05,5000
Budapest_1_2024-04-06,5000
Budapest_1_2024-04-07,5000
Budapest_1_2024-04-08,5000
Budapest_1_2024-04-09,5000
Budapest_1_2024-04-10,5000
Budapest_1_2024-04-11,5000
Budapest_1_2024-04-12,5000
Budapest_1_2024-04-13,5000
Budapest_1_2024-04-14,5000
Budapest_1_2024-04-15,5000
Budapest_1_2024-04-16,5000
Budapest_1_2024-04-17,5000
Budapest_1_2024-04-18,5000
Budapest_1_2024-04-19,5000
Budapest_1_2024-04-20,5000
Budapest_1_2024-04-21,5000
Budapest_1_2024-04-22,5000
Budapest_1_2024-04-23,5000
Budapest_1_2024-04-24,5000
Budapest_1_2024-04-25,5000
Budapest_1_2024-04-26,5000
Budapest_1_2024-04-27,5000
Budapest_1_2024-04-28,5000
Budapest_1_2024-04-29,5000
Budapest_1_2024-04-30,5000
Budapest_1_2024-05-02,5000
Budapest_1_2024-05-03,5000
Budapest_1_2024-05-04,5000
Budapest_1_2024-05-05,5000
Budapest_1_2024-05-06,5000
Budapest_1_2024-05-07,5000
Budapest_1_2024-05-08,5000
Budapest_1_2024-05-09,5000
Budapest_1_2024-05-10,5000
Budapest_1_2024-05-11,5000
Budapest_1_2024-05-12,5000
Budapest_1_2024-05-13,5000
Budapest_1_2024-05-14,5000
Budapest_1_2024-05-15,5000
